day,count
 09 05,"	30"
 09 05,"	19"
 09 06,"	6"
 09 06,"	6"
 09 06,"	9"
 09 06,"	13"
 09 06,"	11"
 09 06,"	38"
 09 06,"	63"
 09 06,"	223"
 09 06,"	226"
 09 06,"	198"
 09 06,"	214"
 09 06,"	180"
 09 06,"	145"
 09 06,"	205"
 09 06,"	217"
 09 06,"	224"
 09 06,"	252"
 09 06,"	303"
 09 06,"	192"
 09 06,"	138"
 09 06,"	74"
 09 06,"	90"
 09 06,"	48"
 09 06,"	23"
 09 07,"	16"
 09 07,"	13"
 09 07,"	8"
 09 07,"	18"
 09 07,"	25"
 09 07,"	43"
 09 07,"	61"
 09 07,"	150"
 09 07,"	180"
 09 07,"	165"
 09 07,"	131"
 09 07,"	138"
 09 07,"	122"
 09 07,"	139"
 09 07,"	147"
 09 07,"	183"
 09 07,"	161"
 09 07,"	204"
 09 07,"	124"
 09 07,"	87"
 09 07,"	78"
 09 07,"	78"
 09 07,"	42"
 09 07,"	39"
 09 08,"	24"
 09 08,"	8"
 09 08,"	12"
 09 08,"	11"
 09 08,"	24"
 09 08,"	41"
 09 08,"	46"
 09 08,"	94"
 09 08,"	101"
 09 08,"	135"
 09 08,"	140"
 09 08,"	111"
 09 08,"	112"
 09 08,"	114"
 09 08,"	121"
 09 08,"	140"
 09 08,"	133"
 09 08,"	138"
 09 08,"	112"
 09 08,"	140"
 09 08,"	117"
 09 08,"	77"
 09 08,"	48"
 09 08,"	24"
 09 09,"	10"
 09 09,"	4"
 09 09,"	4"
 09 09,"	10"
 09 09,"	14"
 09 09,"	22"
 09 09,"	71"
 09 09,"	197"
 09 09,"	215"
 09 09,"	194"
 09 09,"	189"
 09 09,"	201"
 09 09,"	138"
 09 09,"	166"
 09 09,"	188"
 09 09,"	226"
 09 09,"	244"
 09 09,"	255"
 09 09,"	51"
 09 09,"	108"
 09 09,"	58"
 09 09,"	46"
 09 09,"	31"
 09 09,"	21"
 09 10,"	7"
 09 10,"	5"
 09 10,"	8"
 09 10,"	14"
 09 10,"	17"
 09 10,"	29"
 09 10,"	66"
 09 10,"	158"
 09 10,"	246"
 09 10,"	166"
 09 10,"	162"
 09 10,"	146"
 09 10,"	148"
 09 10,"	184"
 09 10,"	211"
 09 10,"	233"
 09 10,"	247"
 09 10,"	254"
 09 10,"	182"
 09 10,"	95"
 09 10,"	63"
 09 10,"	58"
 09 10,"	38"
 09 10,"	26"
 09 11,"	5"
 09 11,"	8"
 09 11,"	8"
 09 11,"	9"
 09 11,"	19"
 09 11,"	29"
 09 11,"	66"
 09 11,"	201"
 09 11,"	243"
 09 11,"	213"
 09 11,"	199"
 09 11,"	192"
 09 11,"	140"
 09 11,"	176"
 09 11,"	214"
 09 11,"	238"
 09 11,"	220"
 09 11,"	278"
 09 11,"	200"
 09 11,"	82"
 09 11,"	63"
 09 11,"	55"
 09 11,"	31"
 09 11,"	18"
 09 12,"	20"
 09 12,"	10"
 09 12,"	10"
 09 12,"	9"
 09 12,"	20"
 09 12,"	33"
 09 12,"	71"
 09 12,"	191"
 09 12,"	254"
 09 12,"	198"
 09 12,"	204"
 09 12,"	187"
 09 12,"	177"
 09 12,"	180"
 09 12,"	236"
 09 12,"	245"
 09 12,"	245"
 09 12,"	267"
 09 12,"	189"
 09 12,"	143"
 09 12,"	103"
 09 12,"	82"
 09 12,"	77"
 09 12,"	52"
 09 13,"	54"
 09 13,"	47"
 09 13,"	28"
 09 13,"	31"
 09 13,"	40"
 09 13,"	50"
 09 13,"	69"
 09 13,"	131"
 09 13,"	132"
 09 13,"	132"
 09 13,"	143"
 09 13,"	125"
 09 13,"	120"
 09 13,"	137"
 09 13,"	133"
 09 13,"	139"
 09 13,"	148"
 09 13,"	133"
 09 13,"	103"
 09 13,"	67"
 09 13,"	71"
 09 13,"	79"
 09 13,"	67"
 09 13,"	40"
 09 14,"	19"
 09 14,"	11"
 09 14,"	10"
 09 14,"	11"
 09 14,"	12"
 09 14,"	44"
 09 14,"	36"
 09 14,"	88"
 09 14,"	109"
 09 14,"	117"
 09 14,"	114"
 09 14,"	94"
 09 14,"	90"
 09 14,"	141"
 09 14,"	124"
 09 14,"	123"
 09 14,"	120"
 09 14,"	108"
 09 14,"	99"
 09 14,"	67"
 09 14,"	72"
 09 14,"	73"
 09 14,"	60"
 09 14,"	40"
 09 15,"	23"
 09 15,"	15"
 09 15,"	6"
 09 15,"	9"
 09 15,"	18"
 09 15,"	22"
 09 15,"	36"
 09 15,"	55"
 09 15,"	86"
 09 15,"	88"
 09 15,"	78"
 09 15,"	87"
 09 15,"	89"
 09 15,"	107"
 09 15,"	116"
 09 15,"	139"
 09 15,"	122"
 09 15,"	110"
 09 15,"	95"
 09 15,"	115"
 09 15,"	124"
 09 15,"	118"
 09 15,"	51"
 09 15,"	20"
 09 16,"	14"
 09 16,"	5"
 09 16,"	11"
 09 16,"	7"
 09 16,"	12"
 09 16,"	23"
 09 16,"	66"
 09 16,"	213"
 09 16,"	216"
 09 16,"	188"
 09 16,"	189"
 09 16,"	156"
 09 16,"	127"
 09 16,"	166"
 09 16,"	208"
 09 16,"	218"
 09 16,"	228"
 09 16,"	249"
 09 16,"	152"
